"id","followers","genres","name","popularity"
"6H33Q3X3mOnHYPf11CygLr",213.00,"['polish synthpop']","Klipsy Panda",4
"6H38O4b9x7V56MfLOpfNZt",6896.00,"['polish pop']","marta bijan",27
"6HCQJx5hxbW7G4LptaCRir",2.00,"['polish techno']","Typical Twins",0
"6HCSGNLOMPvmxpbGggX16D",592.00,"['polish alternative rock']","Letters From Silence",5
"6HP6iaD3SSXFiOhGmivOOy",34.00,"['polish classical']","Roman Statkowski",3
"6HSk2bj2ydCIfcMykIXFat",1616.00,"['polish black metal']","Licho",8
"6HewxqxH72wnR1r9f0CSQu",2305.00,"['polish metal', 'polish thrash metal']","Virgin Snatch",13
"6Hf4rmzz9xnmrAEHS7zpY4",112643.00,"['polish hip hop']","Sobota",50
"6I5JdHLVup9pIjn9g5K20N",5474.00,"['polish alternative']","Igo",54
"6I7UMvppwGHHf3a7mZIqvo",28280.00,"['polish pop']","Sound'n'Grace",32
"6IPGhNGY1IUai0R6Ep2g21",81.00,"['polish punk']","Hartal!",0
"6IspiJXVuNtRG4FmiOyWoP",9750.00,"['polish alternative', 'polish pop']","Ania Rusowicz",39
"6J1DZs41lAOzSGEpBqWJ17",166.00,"['polish prog']","Love De Vice",1
"6J2uYw9Hf0spyvUuwvEP1l",12443.00,"['polish alternative', 'polish indie']","Karolina Czarnecka",35
"6J5qKWbEBTZKmXeo5ltaeI",3269.00,"['disco polo']","Magda Femme & Nowator",22
"6JHFDqLNkl4W9KO8dMgRMh",554.00,"['polish classical']","Maria Szymanowska",18
"6JMMItXorCRjzNQeGDd863",15672.00,"['polish pop']","Antek Smykiewicz",33
"6JeHnuTdT7ozYyLimgtrXW",1996.00,"['polish alternative rap']","ZETENWUPE",20
"6JmVDvBJikEGy2rNAJmEkp",1192.00,"['polish free jazz']","Miłość",11
"6JqpZacnFT3stDLgV4ynq8",23951.00,"['classic polish pop', 'poezja spiewana', 'sung poetry']","Edyta Geppert",38
"6JuGWCAnbvNAEgiH25GA59",10645.00,"['polish pop']","Bartek Kaszuba",27
"6K63Dq6tvP4TriEQzZLBcx",148.00,"['polish thrash metal']","Mosherz",1
"6KJgtsmK847VKUuKQQsVBF",7663.00,"['polish punk']","Włochaty",23
"6LGbdSdK1kCLbkuQjhp11I",105.00,"['polish ambient']","Lights Dim",4
"6LYUUuT1Vgn1G45qab6sHr",1673.00,"['polish reggae']","Jafia Namuel",13
"6Lf4vAUaFUR2jAsybC7cGV",43647.00,"['polish pop']","Roxie",31
"6LwJ1zgqEFyIwXzDD44Qsn",16959.00,"['polish hip hop', 'polish pop']","DZIARMA",52
"6M7R2JwwodFl4ZxhGeLv0D",167.00,"['polish thrash metal']","Setheist",2
"6MBzHGr2J0Lhrl0rmh25QE",2470.00,"['polish alternative rap']","Łona, Webber & the Pimps",16
"6MWyL21VLwmu4UlwOmWefp",35014.00,"['polish blues', 'polish rock']","Breakout",25
"6MYTh67wB2kwcyewyzhWEn",1645.00,"['polish jazz']","Novi Singers",15
"6McH9ZlRL24gW6Bt4fpqad",11683.00,"['classic soundtrack', 'polish contemporary classical', 'soundtrack']","Wojciech Kilar",40
"6MlVGjgieHwMJCPBjU41dN",1689.00,"['polish alternative', 'polish pop']","Maciej Musiałowski",51
"6MoOh7RSx4xnAyjLuZXqG2",7446.00,"['polish hip hop']","THS Klika",19
"6MvJFaN1m0A3h0zurKZrLb",114.00,"['classic polish pop']","Barbara Dziekan",9
"6N4N4aEr4XtgWYQch9XsrM",12422.00,"['polish reggae']","Maleo Reggae Rockers",30
"6N4w4yeElnextiguva3ElC",394.00,"['classic polish pop']","Kinga Preis",23
"6NPOHw3mkifcUlFWsXmhQa",1571.00,"['polish black metal']","Biesy",16
"6NPTNhxwqCO1vFQ2Zpuut7",14863.00,"['black metal', 'dark black metal', 'polish black metal', 'voidgaze']","Kriegsmaschine",28
"6NTZEQYQOH1aWMT2aRrEeO",124.00,"['polish black metal']","ZØRORMR",0
"6NUBt2nj5uT4iLLTIMRxra",3015.00,"['polish electronica']","Duit",59
"6NaOhgiHgKdbBk1SUaAt9d",9927.00,"['polish pop']","Magda Bereda",29
"6Nna8qH9LARl5Q6KjM0sK2",1031.00,"['polish metal']","Joseph Magazine",6
"6O9j2ZywtvjmiKBMgGmSGX",57.00,"['polish jazz']","Boys Band Trio",0
"6ODsWlA2UmM3NoA4O3FbC2",1391.00,"['polish punk']","Dr. Hackenbush",14
"6OHBA9pXZI1COUPLYAnrt6",614.00,"['polish modern jazz']","Algorhythm",5
"6OTCq5zB2s4mZnzveMlQ40",9887.00,"['polish pop']","Marcin Sójka",36
"6OYfl3Etqxl2BUqYfxauoi",9.00,"['polish ambient', 'polish experimental']","arciv ev noise",0
"6Of14EeZ1OJadHo9ewlyEs",1486.00,"['classic polish pop', 'poezja spiewana']","Ewa Błaszczyk",15
"6OvBSEDuaT7pw4ewtwF8jU",116.00,"['polish reggae']","Miodu",33
"6OxTshVIo8gctCgRvHK16G",2170.00,"['classic polish pop']","Hanka Ordonówna",17
"6P5Djul6AgshiD7HT6TppN",75.00,"['polish black metal']","Ethelyn",0
"6P7gZ6hLuBrxelDuq28bR8",770.00,"['polish techno']","Private Press",16
"6PE9YfygcKpsaMOqiBx6JG",122518.00,"['polish alternative', 'polish alternative rock', 'polish pop']","Męskie Granie Orkiestra",46
"6PNz4FhmdpDw6pKATTGK3X",4028.00,"['gothic black metal', 'polish black metal', 'polish metal', 'symphonic black metal']","Darzamat",18
"6PTjsX4e3tgUrY7ZzoD54X",246.00,"['polish death metal']","Pyorrhoea",3
"6PXXwrgo9BICuqqDUHe5vr",8101.00,"['disco polo']","Playboys",42
"6QFvg2hQPuKANoGKZAwoRG",20049.00,"['polish alternative rock']","Lipali",36
"6QZGiHyBdW58wCXUbBdy9a",2091.00,"['classic polish pop', 'poezja spiewana']","Zbigniew Zamachowski",23
